tweet_id,airline_sentiment,airline,tweet
567686845903826000,neutral,United,@united clicked on the link and got this? #confused http://t.co/xMAQcucWZl
567688325276770000,neutral,Southwest,"@SouthwestAir Guys, we've got to do something about the inability to check in online for international  flight that has... (1/2)"
567688411289755000,negative,Southwest,@SouthwestAir flight was Cancelled Flightled and it won't let me rebook online. Wait time on phone is too long. Please help
567690417265975000,neutral,Delta,@JetBlue really caring??
567692251954827000,negative,Southwest,@SouthwestAir allows other passengers 2 harass u after their gate agents mistakeFURIOUS they are doing NOTHING about it &amp; my 6yo was scared
567692504397803000,negative,Southwest,@SouthwestAir  this is really unhelpful. Why can't I rebook online? http://t.co/N5O43sVl8i
567695310860730000,negative,Delta,@JetBlue sitting on the plane in JFK waiting to take off doors are open catering is stocking up we are delayed but they couldn't be nicer
567696188602712000,negative,Delta,@JetBlue A flight delay due to pilots oversleeping is apparently an uncontrollable irregularity that is not eligible for delay compensation.
567698031081160000,negative,US Airways,.@USAirways we have no choice but to pay another $50 to go to the airport in the hopes that we will be treated better by a rep.
567701830805618000,positive,United,"@united New Apple crÃ¢pe, amazing! Live from UA1207. Really nice crew too.  #AmericanAir has biscuits, UA needs them 2 http://t.co/gZ9GqDT7Jj"
567702414157824000,negative,Southwest,@SouthwestAir on hold for 2 hours and then you hung up 3 Cancelled Flightled flights. Running out of daycare for our kids who are trapped at home.
567703258425081000,negative,United,.@united call my work and tell them it's your fault I'm Late Flight
567704339448209000,negative,Southwest,@SouthwestAir why have you guys jacked up the prices AFTER you said prices were going to be lowered? SMH
567710245053407000,negative,US Airways,@USAirways I have been on hold with your Gold reservations line for OVER 3 HOURS now. Flight Cancelled Flightled. Trying to rebook.
567711860938772000,neutral,United,@united how much does it cost to check in an additional bag? Traveling from newark to glasgow. Thank you :)
567712600772050000,negative,US Airways,"@USAirways we are on the 2pm flight FLL to PHL and then connection to MAN. However, with the delays we might miss it. Can we go earlier?"
567713338873118000,positive,Southwest,@SouthwestAir thanks do yall expect to be operational tomorrow out of Nashville?
567713868747902000,negative,Southwest,"@SouthwestAir husband on hold 2.5 hrs, got disconnected!New wait 30 min. Can't confirm res due to the fact he booked on line! Nuts!"
567713896627470000,negative,United,"@united Broken entertainment system on my 8 hour NYC flight, terrible cabin crew service and online complaint form won't work #hopeless"
567714192980201000,negative,United,@united last night we waited forever at the gate because someone from corporate dispatch FORGOT to call the crew #unfriendlyskies
567715682918227000,negative,Southwest,@SouthwestAir Hoping you answer the phone today?
567715917983776000,negative,Southwest,@SouthwestAir been on hold for &gt;30 minutes about my Cancelled Flightled flight. Still not talked to anyone and flight is soon. What gives?
567716378681933000,neutral,Delta,"@JetBlue CEO weighs profits, flyers - @ChronicleHerald (registration) http://t.co/9vKj9S7jrM"
567716403117957000,negative,United,"@United - Ridiculous to fly outdated 757s anywhere much less btwn IAH and SFO. No power ports, no  Wifi, no personal entertainment. TORTURE"
567717415367090000,negative,Southwest,@SouthwestAir the last 4 times I've arrived @LASairport our gate has been blocked by a slow to depart plane leading to 30-60 min delays
567717552290136000,negative,United,@united what if business as usual meant dropping the bully mentality and fostering inspiration for a greater business #EmployeeRelations
567717985092395000,neutral,Southwest,@southwestair - kind of early but any idea when dates through the first week of sept will come available?
567718099794006000,negative,US Airways,@USAirways your service has been awful in Boston and I had to pay 25 extra dollars than I was supposed too I am very dissatisfied #mad
567718292530688000,neutral,Delta,@JetBlue I hear that the new thing in your planes are the Fly-Fi. How I can check if the flight that Im going to take have it?
567718653735731000,negative,Southwest,@SouthwestAir Guys for real. I've been on hold for 4+ hours including one hangup. Please have someone reach out so I can get my $ back.
567719005713334000,negative,US Airways,@USAirways great job today In ruining 45 people's vacation. Thanks to your incompetent pilot and staff we have all now missed our flights
567719031634157000,negative,Southwest,@SouthwestAir can't update my flight online bc it's been Cancelled Flighted twice already. Going on hour 2 on hold.
567719199850496000,negative,Southwest,@SouthwestAir I'm showing flight 4720 delayed again. Would my boarding pass still be good or was my seat given away?
567719957686136000,negative,Delta,@JetBlue please provide me your direct email for me to explain.
567720082860949000,negative,Southwest,@SouthwestAir tried to rebook online but it says that I have to pay $200 for difference in price. Please help
567720839408533000,positive,Southwest,"@SouthwestAir Beautiful, thanks a ton!"
567721299162968000,negative,Southwest,@SouthwestAir Cancelled Flightled my flight out of BNA today. Been on hold for an hour. ðŸ˜  #frustrated!
567721738155622000,neutral,Southwest,â€œ@SouthwestAir:Southwest mobile boarding passes now available in iOS Passbook! http://t.co/xmRvR4lGEg http://t.co/wJoc9f14SUâ€@tori_leggieri
567721764285726000,neutral,Southwest,@SouthwestAir Can you link the article where it says the routes and what times the routes are likely to be? Like TUL-DAL 1:00PM - 7 None
567721806040031000,negative,US Airways,"@USAirways Iâ€™ve had my flight Cancelled Flightled twice now, and after 5 minutes of automated questions, the phone just goes to a busy signal. Help?"
567721945954009000,negative,US Airways,. @USAirways It's been Cancelled Flighted. Your SM response is slow.
567722294680641000,negative,Southwest,@SouthwestAir Hi-My flight (BNA to LGA) was Cancelled Flighted this morning--#1814. Looks like other flights out of BNA are taking off. Any chance?
567722301471199000,negative,US Airways,"@USAirways Almost 4 hours and coin now. Understand higher call volume, but this is unacceptable."
567722330340986000,negative,Southwest,@SouthwestAir I need updates on my flights 464 &amp; 3574. I have been on hold for over 2 hours.
567722664597286000,negative,Southwest,@SouthwestAir has the WORST customer service of any airline I've ever flown.
567722689989578000,neutral,Southwest,@SouthwestAir Where should I fly by May 3rd? Plz advise.
567722844319404000,neutral,Southwest,@SouthwestAir trying to get through to cust relations. Is there another # to use?
567722937545814000,positive,Southwest,@SouthwestAir finally!
567723096186945000,positive,Southwest,@SouthwestAir + @twitter  = outstanding customer service!  Thank you!
567723431513575000,negative,Southwest,@SouthwestAir tried online and told I must call b/c of modifications to my reservation. Been on hold for almost 2 hours.
567723534344933000,negative,Southwest,@SouthwestAir discount for three delays?
567724091809878000,negative,United,@united THRILLED to have my carry-on checked against my will by two nasty gate agents only to see an entire empty bin when I boarded last...
567724133434535000,negative,US Airways,@USAirways can't even get on hold to wait to speak to someone-awesome
567724178317402000,positive,Delta,@JetBlue to offer service from Daytona Beach to New York - Albany Business Review http://t.co/dUhBJ41jHx
567724189872697000,negative,United,@united You know what the United Club needs? Power. MOAR power. Insufficient outlets for the #RoadWarrior (ORD)
567724266045837000,negative,Southwest,"@SouthwestAir almost 2 hours on hold, 2 hours of my life I can't get back.... Thanks http://t.co/IyUZM2PUVS"
567724943375626000,neutral,US Airways,@USAirways You need to contact me ASAP. #Furious
567724948375212000,negative,Southwest,"@SouthwestAir too bad I'm getting this memo: ""Your reservation contains modifications that prevent you from changing it online."" #FUSTURATED"
567724950556258000,negative,Delta,@JetBlue Is today's JetBlue Flight 918 (NYC-&gt;BOS) delayed? My app says on time and the website says it's not...
567725125194493000,negative,US Airways,@USAirways it was supposed to be a carry on and in Pittsburgh  coming to Boston it was a carry on
567725163077070000,negative,United,@united didn't get her name. She was not in our group. She was sitting behind us. Think it was window seat #40? We only overheard...
567725170367148000,negative,US Airways,"Yes, I filed a report in Atlanta. My bags are in Charlotte, NC. 24 hours Late Flightr and still can't find my luggage ... @USAirways"
567725232203390000,positive,Southwest,@SouthwestAir  Thank you.
567725304958160000,negative,US Airways,@USAirways it takes a month?
567725387904720000,positive,US Airways,"@USAirways thanks for the reply, hoping everything is cleared up in Charlotte by Monday"
567725588937728000,negative,US Airways,@USAirways @AmericanAir you make Spirit look like the gem of air travel. You haven't handle this winter storm very well...
567725676958998000,neutral,Delta,@JetBlue what's the link for #FlyFi
567725820056068000,negative,United,.@united nothing apparently. I've flown w/ you 4 times in last 3 weeks and 3 of those experiences (incl today) were clusterfucks.
567726092518031000,neutral,Virgin America,â€œ@VirginAmerica: Book out of town with fares from $59/way (+restr). http://t.co/xRdTOV7nl8 http://t.co/4Y78byAckcâ€ @JenniferDawnPro
567726138223771000,negative,US Airways,@USAirways your chairmans phone is down. what other number can i use?
567726186038837000,negative,US Airways,@USAirways How soon is possible? I boarded the plane the 1st time at 6:30 am and it is now after 11:30 am and I'm still where I started.
567726594698264000,negative,US Airways,@USAirways  well its 11:45am and just got an email that my 11am flight is delayed-thats not right
567726860638101000,negative,United,@united why am i mot getting my refund?
567726912186118000,neutral,Delta,@JetBlue Can't view seat selection/change seat for flight tomorrow. Can you look into this?
567726949049454000,negative,Southwest,"@SouthwestAir I'm an A-list Preferred customer and very loyal SWA. However, your inflight wifi is no better today than it was 4 years ago."
567727026313101000,negative,Southwest,@SouthwestAir do you not try to get customers to their destinations? No help to get on another airline if you had no flights for 3 days?
567727159096385000,positive,US Airways,@USAirways  thanks I hope I get to my destination
567727292739092000,positive,Virgin America,@VirginAmerica Flying LAX to SFO and after looking at the awesome movie lineup I actually wish I was on a long haul.
567727329783582000,positive,Delta,@JetBlue Thank you!
567727403964055000,negative,United,"@united Bad coffee, but the juice is ok. #GetPhilz @ United Terminal SFO Airport http://t.co/Sg7IQqFVsO"
567727479633477000,positive,US Airways,@USAirways please give Tara G a pat on the back and praise.  She was very very helpful.  She is at PHL member lounge
567727490567639000,neutral,Delta,"@JetBlue I have a internal bleed in my foot, and I am flying next Tuesday, what should I. Do :( these. Leeds come randomly. I"
567727499367682000,neutral,Southwest,@SouthwestAir do you think the flights out of Nashville will be Cancelled Flighted tomorrow?
567727526777073000,positive,Delta,@JetBlue thank you!! Miss you all so so much!! Is this the link to the blog? Or has that changed?
567727581873848000,negative,US Airways,@USAirways I got up at 2 am for a 5 am flight from bos to Charlotte which I found was Cancelled Flightled once I got to the gate (1)
567727599627943000,negative,United,@united did not let me get on the IAH-HNL direct. Now weather delay for my SFO leg. Stop being reactive and be proactive!
567727701620822000,neutral,Delta,@JetBlue's new CEO seeks the right balance to please passengers and Wall ... - Daily Journal http://t.co/w8MTmSP2RY
567727883993358000,negative,Delta,@JetBlue oh hell no. I'm not waiting again to get hung up on after speaking to 2 #rudeservice people
567728017196457000,neutral,US Airways,"@USAirways on your website and on your boards at Logan it said it was on time, so we went through security and got to the gate (2)"
567728057700876000,negative,US Airways,@USAirways no we haven't because we've been in the same line at the service desk for an 1hr and 1/2 now in the same spot.
567728114588209000,neutral,Southwest,@SouthwestAir trying to fly out of Nashville tomorrow. How is it looking?
567728227465310000,neutral,Virgin America,@VirginAmerica was wondering if you guys recieved my dm and we're able to potentially respond asap
567728229340172000,negative,Southwest,@SouthwestAir kudos to the #RSW CS crew for re-routing PAX to alleviate Over sale due to down graded EQP 800 now 500
567728285174743000,negative,US Airways,@USAirways I did and it's been a disaster. You had me sitting on the runway only to bring the plane back to the gate smh
567728357555437000,neutral,Delta,"@JetBlue no, I am fine to fly! Haha, they come at random, with the hemophilia, but what if i need extra assistance"
567728386014183000,negative,US Airways,@USAirways you have the ability to switch my flight to @AmericanAir but you cannot tell me where my bags are.
567728481623359000,negative,US Airways,@USAirways I expect something more than telling me to see an agent to rebook my flight...
567728533771132000,negative,US Airways,@USAirways your customer service is horrible
567728679426326000,negative,Southwest,"@SouthwestAir Flight Cancelled Flightled, reFlight Booking Problems online has not worked, on my second round of hold (3 hrs now). Any other options?"
567728698900488000,neutral,Southwest,@SouthwestAir sent
567728800864010000,negative,Delta,@JetBlue busy due to storm but customer service should always be on point. More so now than ever #getittogether
567728860629057000,negative,US Airways,@USAirways and it still says it's on time on your website btw
567728890206904000,negative,US Airways,@USAirways been trying to talk with a dividend miles rep for 2 days now. I have been holding for over 2 hours each day. What are my options?
567729135733465000,negative,US Airways,@USAirways thank you for blowing my vacation. Couldn't get me anywhere today to make my reservation and also lost 2 bags of mine!
567729203894702000,negative,Southwest,"@SouthwestAir I've been on hold for an hour now. 59:57 as I type this. Ridiculous! All I need is the link to the chart that has routes, time"
567729241312489000,positive,US Airways,@USAirways thanks
567729246198837000,neutral,United,@united Filled in the form you sent the link to on 29.1.15 and then either 9 or 10.2.15
567729325810917000,negative,US Airways,@USAirways No kidding. Oy.
567729368110096000,negative,Delta,@JetBlue my request has nothing to do with rescheduling. But customer service has such a bad attitude today. #badservice
567729414822449000,negative,US Airways,@USAirways no warm weather hubs means no Mexico for us.  And I can't go anywhere else since you lost my bags. I hope you attempt to rectify
567729416231321000,negative,Southwest,@SouthwestAir I've been on hold with customer service for over an hour. Can you help?!
567729658276237000,negative,US Airways,@USAirways tried twice today on hold for 30 min each time. i have things to do so can't live on hold dealing w/ your customer serv failures
567729696662511000,positive,United,@united Thank you for the new Club at O'Hare. Very comfortable. You made the difficult weather days proficient and enjoyable.
567729700110602000,negative,US Airways,@USAirways Thanks for the info but have been trying for over 24hrs and no luck. Flight dep. Today. Need 2 change 2 tomorrow or Thursday
567729749087498000,negative,US Airways,@USAirways I didn't even leave the airport and you sent 2 of my bags to Philadelphia!
567729904788054000,negative,Southwest,"@SouthwestAir have you considered adding the ""we'll call you back when we have someone free"" feature to your support line?"
567730143536226000,neutral,United,@united all day travel. #swag #ijustwanttosleep
567730299912482000,negative,United,@united's first-class #cockuphttp://t.co/oh7CFv7DHR
567730323988172000,positive,US Airways,@USAirways will do. Hoping for a voucher for a future flight #Optimistic
567730390291714000,negative,US Airways,@USAirways This is dating back to Nov. I have been sent back and forth between you and @eDreams_en. It's a disgrace.
567730472076464000,negative,United,@united Gold Star for united- change my flight- miss all connections- but can't accommodate me until a MUCH Late Flightr arrival time-Not HAPPY!
567730696656273000,positive,Delta,@JetBlue @EllaHenderson omg!  Wish I had a flight today!  Haha there's always next time!  Have fun at #LFT5
567730704055037000,negative,Southwest,@SouthwestAir Trying to get through by phone to confirm that funds from a Cancelled Flightled reservation can still be used in the future. Can u help?
567730833998757000,negative,US Airways,@USAirways  to arrive the plane I'm sitting on needs to take off...wish someone would tell us what the holdup is
567730952260943000,neutral,United,@united actually we did not consider she might have made a mistake. She did not complain beyond that she indicated it on her reservation.
567731246462033000,negative,Southwest,@SouthwestAir injured at check in yesterday. U told me to go to dr. on hold with SWA for over hour trying to talk with someone. suggestions?
567731485894270000,negative,United,@united sat at airport for 5 hrs still sitting at gate..  Sigh
567731546661326000,negative,Southwest,@SouthwestAir just disconnected my call after 2.5 hours without even speaking to me. #octaviannightmare
567731585035014000,negative,US Airways,@USAirways want to bump up my seet to first class for two Cancelled Flightlations in 24hrs?? what a joke
567731598871642000,negative,Southwest,@SouthwestAir thank you. I was given this same reply 2 years ago. Can you direct me to an area I can learn more about the improvements?
567731712004595000,neutral,Southwest,@SouthwestAir any chance of adding LAX-&gt;JFK direct any time in the future?
567731738924032000,negative,United,@united No but u cld explain how such a disorganized and inefficient company w surly and obviously unhappy employees stays in business.
567731794498174000,neutral,Delta,@JetBlue Hopefully next time! Can I send you my future itineraries so the next one can be planned when I'm there? ðŸ˜‚ðŸ˜‚
567731810910498000,negative,United,"@united +what took me aback was the response by the flight attendant, who put the responsibility squarely back on passenger's shoulders. +"
567731944151322000,positive,Delta,"@JetBlue she was a phone agent, pls do! Peggy was pleasant, informative and delivered. â­ï¸â­ï¸â­ï¸â­ï¸â­ï¸"
567732265888006000,negative,US Airways,@USAirways The phone line disconnects. How can I be in the queue to be answered when the phone line simply disconnects when I call?
567732284959113000,negative,United,@united BTW is it true you have to remind flight staff after checking in even after indicating meal prefer on your reservation? +
567732351774781000,negative,US Airways,"@USAirways That is not an excuse to have such a poor website Flight Booking Problems options! My yearly vacation is about to fall through, ubetter do smth!"
567732372997963000,neutral,US Airways,@USAirways flight #3900 fro ORF to PHL.
567732427691683000,neutral,Southwest,"@SouthwestAir Got it, thanks. Any insight into what will happen tomorrow?"
567732468657041000,negative,United,@united + that's the gist of what the flight attendant told her.
567732510692347000,negative,Southwest,@SouthwestAir I've been on hold for an hour &amp; a half trying to change my flight to BNA. Not very happy with customer service right now!!!!!!
567732811772080000,positive,Delta,@JetBlue well lucky I only fly JB..I guess I would be even more squished on any other airline ðŸ˜ž
567732946241470000,negative,US Airways,@USAirways still crickets from customer service.
567733177590874000,positive,United,@united I appreciate the follow up.
567733228690083000,positive,United,@united @jsumiyasu I am thankful to the  United ground staff who put me in the last seat on the last flight out. Home Late Flight is still home!
567733251620356000,negative,Delta,@JetBlue Got flight reschedule to flight form PIT to FLL and our flight had mechanical problems so we were delayed an hour Missed my connect
567733511281721000,negative,US Airways,"@USAirways Flight 2069 from JFK to Charlotte, then 3750 from Charlotte to Birmingham. 2 previous flights to HSV were Cancelled Flightled."
567733609130233000,positive,United,"@united no worries about the tweets. We all should do what we can to make sure we, as in your tag line, ""Fly the Friendly Skies."""
567733656106459000,negative,Southwest,"@SouthwestAir been on hold for over an hour.....not cool, you guys."
567733682879086000,negative,US Airways,"@USAirways Now I am probably going to miss my connection in Charlotte, so I will have to drive home for the funeral."
567733834964156000,negative,Delta,@JetBlue I do not want to deal with your customer service agents with no practical knowledge.Provide me with a direct contact.
567733847132229000,neutral,Delta,"@JetBlue Ok great thanks! I had a great flight, FYI. I'm excited to fly again. I just was frustrated I was not able to check in."
567733946717196000,negative,Delta,@JetBlue should i continue?
567733978363621000,negative,Southwest,"@SouthwestAir disappointed with customer service right now, my flight was only one Cancelled Flightled at my airport &amp; now I'm losing 2 days from trip"
567734002287513000,neutral,Southwest,@SouthwestAir could you tell me if any upgrades are available on a flight out of STL tomorrow morning.
567734113088835000,neutral,Southwest,@SouthwestAir damn weather messing up everything #serenitynow
567734115899027000,neutral,Southwest,@SouthwestAir - any update on flights in to BNA today?
567734128011784000,negative,United,.@united we rebooked. But @casleah and I had to split up and take different flights because a pilot ran out of hours? Frustrating.
567734329212940000,positive,Southwest,@SouthwestAir Great job!! Looking forward to my next trip being able to use this new feature!
567734357839056000,negative,US Airways,@USAirways Why is there no contact email for customer complaints?
567734499669454000,negative,US Airways,@USAirways hundreds of people in line and less than half the desks being manned at CLT. Help?
567734506434854000,negative,US Airways,@USAirways I can't believe that you would refer me to a number no one seems to be getting through. Really? I need help ASAP!
567734573464027000,neutral,Delta,@JetBlue @EllaHenderson Ah! Wish I was there! Good luck!
567734584000135000,negative,US Airways,@USAirways I was completely ripped of by US Airways today never fly this airline  I am contacting my local news
567734618095230000,negative,United,"@united + besides, no small degree of self-interest. We take that route several times a year &amp; would hate to be in that situation."
567734644515536000,negative,Delta,@JetBlue why is my flight delayed 2.5 hours. This is insane. Every other flight has made it to NYC.
567734731694157000,neutral,United,@united i need my confirmation number! Can you give it to me?
567734769312882000,negative,Southwest,. @SouthwestAir condescension must be a quality your co rewards. Your tone reeks of it
567734790108225000,negative,US Airways,"@USAirways They charged me for a flight they Cancelled Flightled, unbelievable and unheard of"
567734795849834000,negative,United,@united Step 1: Cancelled Flight flight. Step 2: Don't notify customer. Step 3: Charge them for food while they try to survive their wait. Brilliant.
567734830800961000,negative,US Airways,@USAirways when I call it says y'all are too busy and to call back Late Flightr.  this is terrible customer service.  what will you do about it?
567735186881003000,neutral,US Airways,@USAirways How can I change without penalty and not have to call customer service
567735204656066000,positive,United,"@united @FlyANA_official pleasantly surprised to find ANA has made major upgrades on their transpacific route in flights, planes and service"
567735239456194000,neutral,Delta,"@JetBlue unfortunately no, but hoping I can catch one sometime in the near future!"
567735337246806000,negative,US Airways,@USAirways Just contaced EYEWITNESS NEWS about the ripoff the Cancelled Flighted now they want me to pay
567735409724366000,negative,Southwest,@SouthwestAir I need to reschedule a flight and I've been on hold for almost an hour. This is ridiculous. Is there a best number to call?
567735489688395000,positive,Southwest,@SouthwestAir Great job with the Passbook integration! Itâ€™ll really help streamline the commute to San Fran! ðŸ˜Šâ˜•ðŸ“²âœˆ
567735667879575000,negative,Southwest,@SouthwestAir @challemann flying to LGA in the dead of winter? #jvstatus EWR &amp; JFK is always the intelligent option.
567735710392659000,neutral,United,"@united + UA has been rolling out improvements too, we think. Hoping they'll catch up soon? Meantime, ANA is our preference!"
567735766416392000,positive,Southwest,.@SouthwestAir you've got a mess here at DTW but your staff is doing great.
567735941846937000,neutral,Virgin America,@VirginAmerica still waiting to see  @Starryeyes_Dev_  ðŸ˜ž
567735943424397000,negative,US Airways,@USAirways I need someone from management to contact me I was flying to a funeral won't make it now to add to my pain they want me 2 pay
567735983370539000,negative,United,@united feck guys. Stop Cancelled Flightling flights from EWR to RIC the weather is fine I both locations!!!
567736166787850000,neutral,Southwest,@SouthwestAir F5R3ZZ
567736505477918000,neutral,US Airways,@USAirways Im researching a flight &amp; noticed a small issue w/class of service between your site &amp; other sites. Could Reservations help me?
567736507687895000,neutral,United,@united that's what I thought! Thanks for the clarification!
567736516420853000,negative,US Airways,"@USAirways &amp; there are seats together, they just have fees. Seems if I'm taking a 5am flight the least you can do is wave the $10."
567736717352763000,negative,United,"@united dropped off a luggage at IAD over 2 months ago for repair from damages haven't heard anything about it since, when do I get it back?"
567736870365171000,negative,Southwest,@SouthwestAir I'm trying to change a family vacation due to Measles outbreak and haven't been able to get anyone on the phone. Any help?
567737267095994000,neutral,Delta,@JetBlue's CEO Battles to Appease Passengers and Wall Street - http://t.co/frrfxCCw7Z http://t.co/nKlW9SsVRQ
567737317432258000,neutral,Southwest,@SouthwestAir I am but it says yall are sold out. Me &amp; My coworkers would need to get out first available
567737449938685000,negative,Southwest,@SouthwestAir no flights out of #nashville today? Are you kidding me?!?! Why are other airlines flying and you're not?! So frustrated!!
567737554087059000,neutral,Southwest,"@SouthwestAir I noticed the rates increased a few days ago, or the promotion ended. Any idea when another promotion will be coming?? Thanks!"
567737598115082000,positive,US Airways,@usairways #crew keeping safety top of mind in CLT. http://t.co/a0YoSJHZMc
567737617031380000,positive,Southwest,"@SouthwestAir its all good. flight eventually took off, and landed safely. oh, and I got the free cup o wine. thx"
567737625637687000,neutral,Southwest,@SouthwestAir sure. Fhk2te. Am scheduled to leave this weekend but need to push to October
567737653118779000,positive,Southwest,@SouthwestAir and thanks!
567737803060940000,negative,Delta,@JetBlue they are rude and unhelpful. They suggested I catch a flight tomorrow I was supposed to be home today at 2 am and work is waiting
567737909072367000,positive,Delta,@JetBlue Seems very likely.
567737962541375000,neutral,Southwest,@SouthwestAir landing early morning @BWI_Airport after snowfall. http://t.co/apRZsPxigE
567738031398866000,neutral,United,"@united roundtrip tickets to NJ are DRAMATICALLY cheaper through Virgin, pretty pricey via United. Can you match them?"
567738065595019000,negative,Southwest,@SouthwestAir 45mins wait on the phone with no option for a callback? Finally had to hang up because my phone was dying. #customerservice
567738154128769000,negative,Southwest,"@SouthwestAir why are flights still getting out of Logan now? You couldn't manage to get one out at 6 AM, when it wasn't snowing!"
567738171215994000,negative,Delta,@JetBlue already spent $300 to stay at hotel last night due to you guys rescheduling my flight. Since my Cancelled Flightation I've spent almost $500
567738192426590000,neutral,United,Thx! Stand by! â€œ@united: @rajuchinthala I know it's frustrating and I do appreciate your patience while we try to get you on your way. ^JHâ€
567738375755415000,negative,Southwest,@southwestair Thanks. Yes I got through. Biggest frustration is that I'm no longer able to check in online for my flight after 4 Cancelled Flights.
567738388980068000,negative,Delta,@JetBlue and they are telling me I got to get another hotel and food...so spend more money because you guys made me miss my connection
567738484082114000,negative,Southwest,@SouthwestAir I also find it ridiculous that I've been tweeting to you since 3:50 AM EST and have still received no response. 9 hours?
567738680945958000,negative,US Airways,@USAirways I booked a flight yesterday but didnt receive an email confirmation and I my dividends number isn't registering. Please help.
567738715657609000,negative,Southwest,"@SouthwestAir can you follow me? Flight Cancelled Flightled, can't rebook online, been on hold for 2 hours.  Would love to DM flight info. Thank you."
567738743491411000,neutral,Southwest,@SouthwestAir myself and 2 others
567739036425805000,positive,Delta,@JetBlue I did...#FlyFi worked well and was free aboard this flight
567739149818413000,negative,United,"@united you better hold my flight to Tucson #5237, just landed in Houston after an hour delay for some minor computer problem"
567739357881040000,negative,United,"@united I was denied use of a rear facing car seat on UA5025, an ERJ145. Can you confirm the actual policy?"
567739426499862000,neutral,Southwest,@SouthwestAir the 5:50 is sold out too?
567739453884465000,negative,Southwest,@SouthwestAir Thank you.  Twitter says I can't DM someone unless they follow me.  Can @SouthwestAir follows my twitter?
567739553251725000,negative,Southwest,@SouthwestAir Twitter says I can't DM someone unless they follow me.  Can @SouthwestAir follows my twitter? thanks you.
567739625465077000,neutral,US Airways,@USAirways will my known traveler no. transfer over from @AmericanAir ? when I check in at t-24 as an AA elite I can get choice seats?
567739785406873000,positive,Southwest,@SouthwestAir Karen with customer service was very helpful. Thank you for providing one bright spot in a frustrating situation.
567739785981493000,positive,Southwest,@SouthwestAir you guys are awesome... #dontchangeathing #luv
567739813114417000,neutral,US Airways,"@USAirways I left my son's Duke hat on flight #1761 last night. It says ""Mason"" on the back. Any way of locating it? Thanks in advance!"
567740053967736000,positive,Delta,@JetBlue thanks!! Great service in #T5 already! #lovejetBlue
567740187380170000,neutral,United,@united thank you!!!!! And next flight to Durango then driving to Farmington New Mexico for work! But hitting the slopes in Durango!
567740211384168000,positive,Delta,"@JetBlue tough choices but I did all simultaneously! As a business traveler, best experience in a long time. #wishmyflightwaslonger #what"
567740235061014000,neutral,Southwest,@SouthwestAir @gruber Finally.
